REC	PSG_EEG	PSG_EOG	PSG_EMG	PSG_BELTS	PSG_THER	PSG_CAN	PSG_PPG	HB_EEG	HB_IMU	HB_PULSE
sub-57	1	1	1	0	0	0	1	1	1	1
sub-58	1	1	1	0	0	0	1	1	1	1
sub-59	1	1	1	0	0	0	1	1	1	1
sub-60	1	1	1	0	0	0	1	1	1	1
sub-61	1	1	1	0	0	0	1	1	1	1
sub-62	1	1	1	0	0	0	1	1	1	1
sub-63	1	1	1	0	0	0	1	1	1	1
sub-64	1	1	1	0	0	0	1	1	1	1
sub-65	1	1	1	0	0	0	1	1	1	1
sub-66	1	1	1	0	0	0	1	1	1	1
sub-67	1	1	1	0	0	0	1	1	1	1
sub-68	1	1	1	0	0	0	1	1	1	1
sub-69	1	1	1	0	0	0	1	1	1	1
sub-70	1	1	1	0	0	0	1	1	1	1
sub-71	1	1	1	0	0	0	1	1	1	1
sub-72	1	1	1	0	0	0	1	1	1	1
sub-73	1	1	1	0	0	0	1	1	1	1
sub-74	1	1	1	0	0	0	1	1	1	1
sub-75	1	1	1	0	0	0	1	1	1	1
sub-76	1	1	1	0	0	0	1	1	1	1
sub-77	1	1	1	0	0	0	1	1	1	1
sub-78	1	1	1	0	0	0	1	1	1	1
sub-79	1	1	1	0	0	0	1	1	1	1
sub-80	1	1	1	0	0	0	1	1	1	1
sub-81	1	1	1	0	0	0	1	1	1	1
sub-82	1	1	1	0	0	0	1	1	1	1
sub-83	1	1	1	0	0	0	1	1	1	1
sub-84	1	1	1	0	0	0	1	1	1	1
sub-85	1	1	1	0	0	0	1	1	1	1
sub-86	1	1	1	0	0	0	1	1	1	1
sub-87	1	1	1	0	0	0	1	1	1	1
sub-88	1	1	1	0	0	0	1	1	1	1
sub-89	1	1	1	0	0	0	1	1	1	1
sub-90	1	1	1	0	0	0	1	1	1	1
sub-91	1	1	1	0	0	0	1	1	1	1
sub-92	1	1	1	0	0	0	1	1	1	1
sub-93	1	1	1	0	0	0	1	1	1	1
sub-94	1	1	1	0	0	0	1	1	1	1
sub-95	1	1	1	0	0	0	1	1	1	1
sub-96	1	1	1	0	0	0	1	1	1	1
sub-97	1	1	1	0	0	0	1	1	1	1
sub-98	1	1	1	0	0	0	1	1	1	1
sub-99	1	1	1	0	0	0	1	1	1	1
sub-100	1	1	1	0	0	0	1	1	1	1
sub-101	1	1	1	0	0	0	1	1	1	1
sub-102	1	1	1	0	0	0	1	1	1	1
sub-103	1	1	1	1	1	1	1	1	1	1
sub-104	1	1	1	1	1	1	1	1	1	1
sub-105	1	1	1	1	1	1	1	1	1	1
sub-106	1	1	1	1	1	1	1	1	1	1
sub-107	1	1	1	1	1	1	1	1	1	1
sub-108	1	1	1	1	1	1	1	1	1	1
sub-109	1	1	1	1	1	0	1	1	0	1
sub-110	1	1	1	1	1	1	1	1	0	1
sub-111	1	1	1	1	1	1	1	1	0	1
sub-112	1	1	1	1	1	1	1	1	0	1
sub-113	1	1	1	1	1	1	1	1	0	1
sub-114	1	1	1	1	1	1	1	1	0	1
sub-115	1	1	1	1	1	1	1	1	0	1
sub-116	1	1	1	1	1	1	1	1	0	1
sub-117	1	1	1	1	1	1	1	1	0	1
sub-118	1	1	1	1	1	1	1	1	0	1
sub-119	1	1	1	1	1	1	1	1	0	1
sub-120	1	1	1	1	1	1	1	1	0	1
sub-121	1	1	1	1	1	1	1	1	0	1
sub-122	1	1	1	1	1	0	1	1	0	1
sub-123	1	1	1	1	1	0	1	1	0	1
sub-124	1	1	1	1	1	0	1	1	1	1
sub-125	1	1	1	1	1	1	1	1	1	1
sub-126	1	1	1	0	0	0	0	1	0	1
sub-127	1	1	1	1	1	0	1	1	0	1
sub-128	1	1	1	0	0	0	0	1	0	1
