onset	duration	begsample	endsample	offset	stage_ai
8910	30	2280961	2288640	0	2
8940	30	2288641	2296320	0	2
8970	30	2296321	2304000	0	2
9000	30	2304001	2311680	0	2
9030	30	2311681	2319360	0	2
9060	30	2319361	2327040	0	2
9090	30	2327041	2334720	0	2
9120	30	2334721	2342400	0	2
9150	30	2342401	2350080	0	2
9180	30	2350081	2357760	0	2
9210	30	2357761	2365440	0	4
9240	30	2365441	2373120	0	4
9270	30	2373121	2380800	0	4
9300	30	2380801	2388480	0	2
9330	30	2388481	2396160	0	2
9360	30	2396161	2403840	0	2
9390	30	2403841	2411520	0	2
9420	30	2411521	2419200	0	2
9450	30	2419201	2426880	0	2
9480	30	2426881	2434560	0	4
9510	30	2434561	2442240	0	4
9540	30	2442241	2449920	0	4
9570	30	2449921	2457600	0	4
9600	30	2457601	2465280	0	4
9630	30	2465281	2472960	0	4
9660	30	2472961	2480640	0	4
9690	30	2480641	2488320	0	4
9720	30	2488321	2496000	0	2
9750	30	2496001	2503680	0	2
9780	30	2503681	2511360	0	2
9810	30	2511361	2519040	0	2
9840	30	2519041	2526720	0	2
9870	30	2526721	2534400	0	2
9900	30	2534401	2542080	0	2
9930	30	2542081	2549760	0	4
9960	30	2549761	2557440	0	2
9990	30	2557441	2565120	0	2
10020	30	2565121	2572800	0	2
10050	30	2572801	2580480	0	2
10080	30	2580481	2588160	0	2
10110	30	2588161	2595840	0	2
10140	30	2595841	2603520	0	2
10170	30	2603521	2611200	0	2
10200	30	2611201	2618880	0	2
10230	30	2618881	2626560	0	2
10260	30	2626561	2634240	0	2
10290	30	2634241	2641920	0	2
10320	30	2641921	2649600	0	2
10350	30	2649601	2657280	0	2
10380	30	2657281	2664960	0	2
10410	30	2664961	2672640	0	2
10440	30	2672641	2680320	0	2
10470	30	2680321	2688000	0	2
10500	30	2688001	2695680	0	2
10530	30	2695681	2703360	0	2
10560	30	2703361	2711040	0	2
10590	30	2711041	2718720	0	2
10620	30	2718721	2726400	0	2
10650	30	2726401	2734080	0	2
10680	30	2734081	2741760	0	2
10710	30	2741761	2749440	0	2
10740	30	2749441	2757120	0	2
10770	30	2757121	2764800	0	2
10800	30	2764801	2772480	0	2
10830	30	2772481	2780160	0	2
10860	30	2780161	2787840	0	2
10890	30	2787841	2795520	0	2
10920	30	2795521	2803200	0	2
10950	30	2803201	2810880	0	2
10980	30	2810881	2818560	0	2
11010	30	2818561	2826240	0	2
11040	30	2826241	2833920	0	2
11070	30	2833921	2841600	0	2
11100	30	2841601	2849280	0	2
11130	30	2849281	2856960	0	2
11160	30	2856961	2864640	0	2
11190	30	2864641	2872320	0	2
11220	30	2872321	2880000	0	2
11250	30	2880001	2887680	0	2
11280	30	2887681	2895360	0	2
11310	30	2895361	2903040	0	2
11340	30	2903041	2910720	0	2
11370	30	2910721	2918400	0	2
11400	30	2918401	2926080	0	2
11430	30	2926081	2933760	0	2
11460	30	2933761	2941440	0	2
11490	30	2941441	2949120	0	2
11520	30	2949121	2956800	0	2
11550	30	2956801	2964480	0	2
11580	30	2964481	2972160	0	2
11610	30	2972161	2979840	0	2
11640	30	2979841	2987520	0	2
11670	30	2987521	2995200	0	2
11700	30	2995201	3002880	0	2
11730	30	3002881	3010560	0	2
11760	30	3010561	3018240	0	2
11790	30	3018241	3025920	0	2
11820	30	3025921	3033600	0	3
11850	30	3033601	3041280	0	3
11880	30	3041281	3048960	0	3
11910	30	3048961	3056640	0	3
11940	30	3056641	3064320	0	3
11970	30	3064321	3072000	0	3
12000	30	3072001	3079680	0	3
12030	30	3079681	3087360	0	3
12060	30	3087361	3095040	0	3
12090	30	3095041	3102720	0	3
12120	30	3102721	3110400	0	3
12150	30	3110401	3118080	0	2
12180	30	3118081	3125760	0	2
12210	30	3125761	3133440	0	2
12240	30	3133441	3141120	0	2
